obs,id,like,comment,share,engagement,log_engage,length,question,valence,hashtag,picture,url,at_mention,emoji
89,132959,1,1,0,2,1.0986122886681098,3,0,0.0,0,0,0,0,0
90,132960,0,1,0,1,0.6931471805599453,3,0,0.0,0,0,0,0,0
91,132961,10,16,4,30,3.4339872044851463,14,0,-2.78,0,0,1,0,1
92,132962,9,15,3,27,3.332204510175204,7,0,0.0,1,0,1,0,0
93,132963,7,24,1,32,3.4965075614664802,1,0,0.0,0,0,1,0,0
94,132964,1,2,1,4,1.6094379124341003,5,1,0.0,0,0,0,0,0
95,132965,2,2,1,5,1.791759469228055,4,1,0.0,0,0,0,0,0
96,132966,1,1,1,3,1.3862943611198906,5,1,0.0,0,0,0,0,0
97,132967,1,1,0,2,1.0986122886681098,7,1,0.0,0,0,0,0,0
98,132968,13,22,4,39,3.6888794541139363,33,1,3.91905,0,1,2,0,2
99,132969,13,19,1,33,3.5263605246161616,9,0,0.0,0,1,2,0,0
100,132970,7,1,1,9,2.302585092994046,1,0,0.0,0,1,2,0,0
101,132971,11,3,1,15,2.772588722239781,1,0,0.0,0,1,2,0,0
102,132972,5,1,1,7,2.0794415416798357,5,0,0.0,0,1,2,0,0
103,132973,5,16,1,22,3.1354942159291497,10,0,3.7575,0,0,0,0,13
104,132974,4,6,1,11,2.4849066497880004,10,0,-3.1154,0,0,0,0,0
105,132975,4,1,1,6,1.9459101490553132,12,0,0.0,0,1,1,0,1
106,132976,1,1,1,3,1.3862943611198906,13,0,3.4286,0,1,1,0,0
107,132977,4,17,1,22,3.1354942159291497,16,0,0.0,3,0,0,0,0
108,132978,20,15,3,38,3.6635616461296463,9,0,0.0,0,0,1,0,0
109,132979,26,26,5,57,4.060443010546419,30,0,0.0,0,0,1,0,0
110,132980,3,5,0,8,2.1972245773362196,15,0,2.06,1,0,1,0,0
111,132981,7,11,1,19,2.995732273553991,30,1,3.26,0,1,2,0,1
112,132982,4,17,1,22,3.1354942159291497,11,0,0.0,0,0,1,0,0
113,132983,0,4,1,5,1.791759469228055,14,1,0.0,0,0,0,0,0
114,132984,9,5,2,16,2.833213344056216,17,0,1.86,0,1,2,0,0
115,132985,7,1,1,9,2.302585092994046,16,0,0.0,0,1,2,0,1
116,132986,11,18,1,30,3.4339872044851463,31,0,3.705399999999999,0,1,1,0,3
117,132987,16,28,4,48,3.8918202981106265,12,0,0.0,0,0,1,0,0
118,132988,12,29,0,41,3.7376696182833684,3,1,0.0,0,4,2,0,0
119,132989,5,29,2,36,3.6109179126442243,8,0,0.0,0,0,1,0,0
120,132990,12,25,1,38,3.6635616461296463,9,0,0.0,0,0,1,0,0
121,132991,8,23,1,32,3.4965075614664802,34,1,-3.26,0,1,2,0,3
122,132992,2,7,0,9,2.302585092994046,14,0,0.0,0,0,1,0,0
123,132993,9,12,1,22,3.1354942159291497,19,0,-1.6613,0,1,2,0,0
124,132994,2,2,1,5,1.791759469228055,23,0,3.362699999999999,0,1,1,0,0
125,132995,3,1,1,5,1.791759469228055,16,0,0.0,0,1,1,0,0
126,132996,3,22,1,26,3.295836866004329,9,0,0.0,1,0,1,0,1
127,132997,16,27,0,43,3.784189633918261,11,0,0.0,0,0,1,0,0
128,132998,5,6,0,11,2.4849066497880004,18,1,0.0,0,0,1,0,0
129,132999,6,14,0,20,3.044522437723423,7,0,2.38,0,1,2,0,0
130,133000,1,2,0,3,1.3862943611198906,11,0,2.06,0,0,1,0,0
131,133001,5,23,1,29,3.4011973816621555,10,0,0.0,3,0,0,0,0
132,133002,12,25,1,38,3.6635616461296463,9,0,0.0,0,0,1,0,0
133,133003,13,16,1,30,3.4339872044851463,13,0,0.0,0,1,2,0,1
